year,num of birth
1872,569084
1873,809487
1874,836118
1875,869126
1876,902946
1877,890518
1878,874883
1879,876719
1880,883584
1881,941343
1882,922715
1883,1004989
1884,985252
1885,1024574
1886,1050617
1887,1058137
1888,1172729
1889,1209910
1890,1145374
1891,1086775
1892,1207034
1893,1178428
1894,1208983
1895,1246427
1896,1282178
1897,1334125
1898,1369638
1899,1386981
1900,1420534
1901,1501591
1902,1510835
1903,1489816
1904,1440371
1905,1452770
1906,1394295
1907,1614472
1908,1662815
1909,1693850
1910,1712857
1911,1747803
1912,1737674
1913,1757441
1914,1808402
1915,1799326
1916,1804822
1917,1812413
1918,1791992
1919,1778685
1920,2025564
1921,1990876
1922,1969314
1923,2043297
1924,1998520
1925,2086091
1926,2104405
1927,2060737
1928,2135852
1929,2077026
1930,2085101
1931,2102784
1932,2182742
1933,2121253
1934,2043783
1935,2190704
1936,2101969
1937,2180734
1938,1928321
1939,1901573
1940,2115867
1941,2277283
1942,2233660
1943,2253535
1944,2263605.5
1945,1842187
1946,1742486
1947,2678792
1948,2681624
1949,2696638
1950,2337507
1951,2137689
1952,2005162
1953,1868040
1954,1769580
1955,1730692
1956,1665278
1957,1566713
1958,1653469
1959,1626088
1960,1606041
1961,1589372
1962,1618616
1963,1659521
1964,1716761
1965,1823697
1966,1360974
1967,1935647
1968,1871839
1969,1889815
1970,1934239
1971,2000973
1972,2038682
1973,2091983
1974,2029989
1975,1901440
1976,1832617
1977,1755100
1978,1708643
1979,1642580
1980,1576889
1981,1529455
1982,1515392
1983,1508687
1984,1489780
1985,1431577
1986,1382946
1987,1346658
1988,1314006
1989,1246802
1990,1221585
1991,1223245
1992,1208989
1993,1188282
1994,1238328
1995,1187064
1996,1206555
1997,1191665
1998,1203147
1999,1177669
2000,1190547
2001,1170662
2002,1153855
2003,1123610
2004,1110721
2005,1062530
2006,1092674
2007,1089818
2008,1091156
2009,1070036
2010,1071305
2011,1050807
2012,1037232
2013,1029817
2014,1003609
2015,1005721
2016,977242
2017,946146
2018,918400
2019,865239
2020,840835
2021,811622
2022,770759
2023,762000
2024,779000
2025,774000
2026,771000
2027,772000
2028,773000
2029,774000
2030,774000
2031,773000
2032,770000
2033,766000
2034,761000
2035,755000
2036,749000
2037,741000
2038,734000
2039,726000
2040,718000
2041,710000
2042,701000
2043,692000
2044,683000
2045,672000
2046,662000
2047,651000
2048,639000
2049,628000
2050,616000
2051,604000
2052,594000
2053,583000
2054,574000
2055,566000
2056,558000
2057,552000
2058,547000
2059,542000
2060,538000
2061,534000
2062,531000
2063,528000
2064,524000
2065,521000
2066,517000
2067,514000
2068,509000
2069,505000
2070,500000
